Pre,Displacement,Tension
0.55,0.53,3.2
0.53,0.52,3.3
0.52,0.5,3.4
0.5,0.5,3.3
0.5,0.49,3.1
0.49,0.47,2.8
0.47,0.45,2.9
0.45,0.45,2.7
0.45,0.43,2.7
0.43,0.41,2.7
0.41,0.41,2.8
0.41,0.4,2.7
0.4,0.38,2.6
0.38,0.37,2.3
0.37,0.35,2.2
0.35,0.34,2.3
0.34,0.33,2.1
0.33,0.32,2
0.32,0.3,2
0.3,0.29,2
0.29,0.28,2.1
0.28,0.26,1.6
0.26,0.25,1.8
0.25,0.24,2.1
0.24,0.23,1.9
0.23,0.22,1.6
0.22,0.2,1.6
0.2,0.19,1.5
0.19,0.17,1.5
0.17,0.17,1.2
0.17,0.15,1.2
0.15,0.13,1.3
0.13,0.12,1.3
0.12,0.12,1.1
0.12,0.1,1.1
0.1,0.09,0.9
0.09,0.08,0.8
0.08,0.06,1
0.06,0.05,0.8
0.05,0.04,0.5
0.04,0.03,0.6
0.03,0.01,0.5
0.01,0,0.3
0,0,0.4
0,0,0.3
0,0,0.3
0,0,0.3
0,0,0.4
0,0,0.2
0,0,0.2
0,0,0.4
0,0,0.5
0,0,0.6
0,0,0.6
0,0,0.6
0,0,0.5
0,0,0.5
0,0,0.6
0,0,0.6
